"id","name","bikes_count","terminal_id"
565,"Ravenscourt Park Station, Hammersmith",15,300037
566,"Beryl Road, Hammersmith",15,200097
567,"Seville Street, Knightsbridge",15,1177
568,"Richmond Way, Shepherd's Bush",15,200181
569,"Neville Gill Close, Wandsworth",15,200188
570,"Shadwell Station, Shadwell",15,200020
571,"Imperial Road, Sands End",15,300087
572,"Belvedere Road 1, South Bank",15,1186
573,"Courland Grove, Wandsworth Road",15,200173
574,"Pancras Road, King's Cross",16,3428
575,"Dorset Square, Marylebone",16,1162
576,"Pembridge Villas, Notting Hill",16,2589
577,"Selby Street, Whitechapel",16,200135
578,"Grafton Street, Mayfair",16,3431
579,"Broadwick Street, Soho",16,3489
580,"Lexham Gardens, Kensington",16,1121
581,"Crimscott Street, Bermondsey",16,300061
582,"Princedale Road , Holland Park",16,200067
583,"Ladbroke Grove Central, Ladbroke Grove",16,200015
584,"Ilchester Gardens, Bayswater",16,200086
585,"Putney Bridge Station, Fulham",16,200125
586,"Blythe Road West, Shepherd's Bush",16,200220
587,"Islington Green, Angel",16,300031
588,"Westbourne Park Road, Portobello",16,300057
589,"Windsor Terrace, Hoxton",16,1029
590,"Columbia Road, Shoreditch",16,2701
591,"Cantrell Road, Bow",16,200150
592,"Normand Park, West Kensington",16,300008
593,"Lots Road, West Chelsea",16,300076
594,"Bevington Road West, North Kensington",16,300236
595,"Bayley Street , Bloomsbury",16,1006
596,"Queen's Gate (South), South Kensington",16,1172
597,"Flamborough Street, Limehouse",16,200115
598,"St John's Crescent, Brixton",16,300215
599,"Westbourne Grove, Bayswater",16,1041
600,"Bayswater Road, Hyde Park",16,1096
601,"Millennium Hotel, Mayfair",16,1230
602,"Handyside Street, King's Cross",16,300241
603,"Drummond Street , Euston",16,993
604,"Holy Trinity Brompton, Knightsbridge",16,1002
605,"Queen Victoria Street, St. Paul's",16,1048
606,"Haggerston Road, Haggerston",16,300081
607,"Southerton Road, Hammersmith",16,200166
608,"St. James's Square, St. James's",16,1067
609,"Somerset House, Strand",16,200068
610,"Southwark Station 2, Southwark",16,22163
611,"Golden Square, Soho",17,3451
612,"Bridge Avenue, Hammersmith",17,300082
613,"The Metropolitan, Portobello",17,300244
614,"Green Street, Mayfair",17,3464
615,"St. Luke's Church, Chelsea",17,3486
616,"Paddington Green, Paddington",17,2670
617,"Napier Avenue, Millwall",17,200046
618,"Stonecutter Street, Holborn",17,1061
619,"Clerkenwell Green, Clerkenwell",17,1053
620,"Brandon Street, Walworth",17,300060
621,"Freston Road, Avondale",17,300085
622,"Albert Embankment, Vauxhall",17,1059
623,"Walworth Square, Walworth",17,300050
624,"The Vale, Chelsea",17,300058
625,"Halford Road, West Kensington",17,300210
626,"William IV Street, Strand",17,1028
627,"Chepstow Villas, Notting Hill",17,1120
628,"Queen Mother Sports Centre, Victoria",17,1148
629,"Gas Holders, Battersea Park",17,300216
630,"Sloane Avenue, Knightsbridge",17,3461
